"id","address_country","address_locality","address_region","postal_code","street_address","formatted_address","latitude","longitude","zoom","parish_id","name"
824,"FR","Salon-de-Provence",,"13300"," Rue Maréchal Joffre",", Rue Maréchal Joffre, 13300 Salon-de-Provence, France",43.6432149,5.0972027,,428,"Donnée de MesseInfo traitée par Google Maps."
825,"fr","SAINT REMY DE PROVENCE",,"13210","2 rue Daniel Millaud",,43.7887476,4.8309784,15,429,"Donnée importée de MesseInfo."
826,"FR","Saint-Rémy-de-Provence",,"13210","2 Rue Daniel Millaud","2, Rue Daniel Millaud, 13210 Saint-Rémy-de-Provence, France",43.7887476,4.8309784,,429,"Donnée de MesseInfo traitée par Google Maps."
827,"fr","SAINT MARTIN DE CRAU",,"13310","4 rue Léo Lellée",,43.638628,4.812107,9,430,"Donnée importée de MesseInfo."
828,"FR","Saint-Martin-de-Crau",,"13310","4 Rue Léo Lelee","4, Rue Léo Lelee, 13310 Saint-Martin-de-Crau, France",43.6367907,4.8066881,,430,"Donnée de MesseInfo traitée par Google Maps."
832,"fr","ALBAN",,"81250","",,43.888715,2.459442,11,433,"Donnée importée de MesseInfo."
833,"FR","Alban",,"81250"," ",", , 81250 Alban, France",43.888715,2.459442,,433,"Donnée de MesseInfo traitée par Google Maps."
834,"fr","BRASSAC",,"81260","14 Place Saint-Georges",,43.6292598,2.4985546,15,434,"Donnée importée de MesseInfo."
835,"FR","Brassac",,"81260","14 Place Saint-Georges","14, Place Saint-Georges, 81260 Brassac, France",43.6292091,2.4986886,,434,"Donnée de MesseInfo traitée par Google Maps."
836,"fr","CARMAUX",,"81400","1 rue Courbet",,44.0494428,2.1606038,15,435,"Donnée importée de MesseInfo."
837,"FR","Carmaux",,"81400","1 Rue Courbet","1, Rue Courbet, 81400 Carmaux, France",44.0489205,2.1602353,,435,"Donnée de MesseInfo traitée par Google Maps."
839,"FR","Castres",,"81100","39 Boulevard Georges Clemenceau","39, Boulevard Georges Clemenceau, 81100 Castres, France",43.6086091,2.2371395,,436,"Donnée de MesseInfo traitée par Google Maps."
840,"fr","CORDES",,"81170","5 rue des Tanneries",,44.0677646,1.944825,14,437,"Donnée importée de MesseInfo."
841,"FR","Les Cabannes",,"81170","5 Rue des Tanneries","5, Rue des Tanneries, 81170 Les Cabannes, France",44.0675996,1.941603,,437,"Donnée de MesseInfo traitée par Google Maps."
842,"fr","ALBI",,"81000","94 Bd Maréchal Lannes",,43.9425003,2.1542089,15,438,"Donnée importée de MesseInfo."
843,"FR","Albi",,"81000","94 Boulevard Maréchal Lannes","94, Boulevard Maréchal Lannes, 81000 Albi, France",43.9438625,2.1569442,,438,"Donnée de MesseInfo traitée par Google Maps."
844,"fr","GAILLAC",,"81600","68 Place de la Libération",,43.8996449,1.8986146,15,439,"Donnée importée de MesseInfo."
845,"FR","Gaillac",,"81600","68 Place de la Libération","68, Place de la Libération, 81600 Gaillac, France",43.8995676,1.898178,,439,"Donnée de MesseInfo traitée par Google Maps."
846,"fr","GRAULHET",,"81300","10 rue Bosquet",,43.7651947,1.9845549,15,440,"Donnée importée de MesseInfo."
847,"FR","Graulhet",,"81300","10 Rue Bosquet","10, Rue Bosquet, 81300 Graulhet, France",43.7653225,1.9843871,,440,"Donnée de MesseInfo traitée par Google Maps."
848,"fr","LESCURE D'ALBIGEOIS",,"81380","Chemin de La Drèche",,43.970641041086,2.1536796058044,16,441,"Donnée importée de MesseInfo."
849,"FR","Lescure-d'Albigeois",,"81380"," Chemin de la Dreche",", Chemin de la Dreche, 81380 Lescure-d'Albigeois, France",43.9696551,2.1559272,,441,"Donnée de MesseInfo traitée par Google Maps."
850,"fr","LABASTIDE-ROUAIROUX",,"81270","61 rue Crouzet",,43.4746403,2.6425462,15,442,"Donnée importée de MesseInfo."
851,"FR","Labastide-Rouairoux",,"81270","61 Rue Pierre et François Crouzet","61, Rue Pierre et François Crouzet, 81270 Labastide-Rouairoux, France",43.4746348,2.6426384,,442,"Donnée de MesseInfo traitée par Google Maps."
852,"fr","LABRUGUIERE",,"81290","10 rue du Presbytère",,43.5400376,2.2640417,15,443,"Donnée importée de MesseInfo."
853,"FR","Labruguière",,"81290","10 Rue du Presbytère","10, Rue du Presbytère, 81290 Labruguière, France",43.540152,2.2637009,,443,"Donnée de MesseInfo traitée par Google Maps."
854,"fr","LACAUNE",,"81230","22 rue du Temple",,43.7061164,2.6917352,15,444,"Donnée importée de MesseInfo."
855,"FR","Lacaune",,"81230","22 Rue du Temple","22, Rue du Temple, 81230 Lacaune, France",43.7061271,2.6917207,,444,"Donnée de MesseInfo traitée par Google Maps."
856,"fr","LAVAUR",,"81500","1 place Saint-Alain",,43.699,1.82147,12,445,"Donnée importée de MesseInfo."
857,"FR","Lavaur",,"81500","1 Place Saint Alain","1, Place Saint Alain, 81500 Lavaur, France",43.699,1.82147,,445,"Donnée de MesseInfo traitée par Google Maps."
858,"fr","LISLE SUR TARN",,"81310","4 rue du Port",,43.8522124,1.8110442,15,446,"Donnée importée de MesseInfo."
859,"FR","Lisle-sur-Tarn",,"81310","4 Rue du Port","4, Rue du Port, 81310 Lisle-sur-Tarn, France",43.8521649,1.8108474,,446,"Donnée de MesseInfo traitée par Google Maps."
860,"fr","LASGRAÏSSES",,"81300","",,43.801556,2.0055580000001,10,447,"Donnée importée de MesseInfo."
861,"FR","Lasgraisses",,"81300"," ",", , 81300 Lasgraisses, France",43.820262,2.039394,,447,"Donnée de MesseInfo traitée par Google Maps."
862,"fr","MAZAMET",,"81200","20 rue Jean-François Greffier",,43.490103,2.376579,9,448,"Donnée importée de MesseInfo."
863,"FR","Mazamet",,"81200","20 Rue Jean Francois Greffier","20, Rue Jean Francois Greffier, 81200 Mazamet, France",43.4922269,2.3799839,,448,"Donnée de MesseInfo traitée par Google Maps."
864,"fr","MONTFRANC",,"12380","",,43.806628,2.5956419,11,449,"Donnée importée de MesseInfo."
865,"FR","Montfranc",,"12380"," ",", , 12380 Montfranc, France",43.842494,2.5681949,,449,"Donnée de MesseInfo traitée par Google Maps."
866,"fr","PUYLAURENS",,"81700","10 rue Cap-de-Castel",,43.5715812,2.0143403,15,450,"Donnée importée de MesseInfo."
867,"FR","Puylaurens",,"81700","10 Rue Cap de Castel","10, Rue Cap de Castel, 81700 Puylaurens, France",43.57152,2.0141769,,450,"Donnée de MesseInfo traitée par Google Maps."
868,"fr","RABASTENS",,"81800","5 rue Toulouse-Lautrec",,43.7701535,1.6949744,15,451,"Donnée importée de MesseInfo."
869,"FR","Rabastens",,"81800","5 Rue Raymond de Toulouse Lautrec","5, Rue Raymond de Toulouse Lautrec, 81800 Rabastens, France",43.8205833,1.7255996,,451,"Donnée de MesseInfo traitée par Google Maps."
870,"fr","REALMONT",,"81120","2 Av Flandres-Dunkerque ",,43.777768,2.1873854,15,452,"Donnée importée de MesseInfo."
871,"FR","Réalmont",,"81120","2 Avenue Flandres Dunkerque","2, Avenue Flandres Dunkerque, 81120 Réalmont, France",43.777768,2.1873854,,452,"Donnée de MesseInfo traitée par Google Maps."
872,"fr","Saint-Paul-Cap-de-Joux",,"81220","5 Place de l'Hotel de Ville",,43.6480326,1.9761506,15,453,"Donnée importée de MesseInfo."
873,"FR","Saint-Paul-Cap-de-Joux",,"81220","1 Place de L Hôtel de ville","1, Place de L Hôtel de ville, 81220 Saint-Paul-Cap-de-Joux, France",43.648117,1.975017,,453,"Donnée de MesseInfo traitée par Google Maps."
